source,dest_path,data_js_key,emoji,confidence,note
sheet04_01,assets/potions/tp_crit.png,tp_crit,💥,certain,"Labelled ""Crit Elixir"""
sheet04_02,assets/potions/tp_cleanse.png,tp_cleanse,✨,certain,"Labelled ""Cleanse Tonic"""
sheet04_03,assets/potions/tx_freeze.png,tx_freeze,❄️,certain,"Labelled ""Freeze Curse"""
sheet04_04,assets/potions/tx_stone.png,tx_stone,🗿,certain,"Labelled ""Stone Curse"""
sheet04_05,assets/potions/tx_charm.png,tx_charm,💗,certain,"Labelled ""Charm Curse"""
sheet04_06,assets/potions/revive.png,REVIVE_POTION,✨,certain,"Labelled ""Revive Potion"""
sheet04_07,assets/icons/food_basic.png,food_basic,🍪,certain,"Labelled ""Food: Data Crumbs"""
sheet04_08,assets/icons/food_good.png,food_good,🍔,certain,"Labelled ""Food: Byte Burger"""
sheet04_09,assets/icons/food_premium.png,food_premium,🍰,certain,"Labelled ""Food: Golden Cache"""
sheet11_01,assets/icons/def.png,ATTR.yellow,🛡️,certain,"Labelled ""Attribute: Yellow"""
sheet11_02,assets/icons/healer.png,ATTR.white,➕,certain,"Labelled ""Attribute: White"""
sheet11_03,assets/icons/egg_n.png,egg_n,🥚,certain,"Labelled ""Egg: Normal"""
sheet11_04,assets/icons/egg_r.png,egg_r,🔵,certain,"Labelled ""Egg: Rare"""
sheet11_05,assets/icons/egg_e.png,egg_e,🟣,certain,"Labelled ""Egg: Epic"""
sheet11_06,assets/icons/habit_green.png,HABIT_COLORS.green,,certain,"Labelled ""Habit Color: Green"""
sheet11_07,assets/icons/habit_red.png,HABIT_COLORS.red,,certain,"Labelled ""Habit Color: Red"""
sheet11_08,assets/icons/habit_yellow.png,HABIT_COLORS.yellow,,certain,"Labelled ""Habit Color: Yellow"""
sheet11_09,assets/icons/habit_blue.png,HABIT_COLORS.blue,,certain,"Labelled ""Habit Color: Blue"""
sheet12_01,assets/icons/habit_white.png,HABIT_COLORS.white,,certain,"Labelled ""Habit Color: White"""
sheet12_02,assets/icons/habit_dark.png,HABIT_COLORS.dark,,certain,"Labelled ""Habit Color: Dark"""
sheet12_03,assets/icons/habit_beast.png,HABIT_TYPES.beast,,certain,"Labelled ""Type: Beast"""
sheet12_04,assets/icons/habit_magicalbeast.png,HABIT_TYPES.magicalbeast,,certain,"Labelled ""Type: Magical Beast"""
sheet12_05,assets/icons/habit_insect.png,HABIT_TYPES.insect,,certain,"Labelled ""Type: Insect"""
